solar_curr_mA,load_power_mW
0.0,13145.252077739882
0.0,13144.837348646935
0.0,13144.422606468663
0.0,13144.007851203825
0.0,13143.593082851185
0.0,13143.178301409498
0.0,13142.763506877534
0.0,13142.348699254047
0.0,13141.933878537797
0.0,13141.519044727545
0.0,13141.104197822056
0.0,13140.689337820084
0.0,13140.274464720389
0.0,13139.859578521735
0.0,13139.444679222877
0.0,13139.029766822576
0.0,13138.614841319586
0.0,13138.19990271267
0.0,13137.784951000584
0.0,13137.369986182091
0.0,13136.955008255945
0.0,13136.540017220905
0.0,13136.125013075727
0.0,13135.709995819172
0.0,13135.294965449995
0.0,13134.87992196695
0.0,13134.464865368798
0.0,13134.049795654299
0.0,13133.634712822199
0.0,13133.219616871263
0.0,13132.804507800243
0.0,13132.389385607898
0.0,13131.97425029298
0.0,13131.559101854245
0.0,13131.143940290453
0.0,13130.728765600354
0.0,13130.313577782703
0.0,13129.898376836258
0.0,13129.483162759767
0.0,13129.067935551991
0.0,13128.652695211684
0.0,13128.237441737598
0.0,13127.822175128485
0.0,13127.4068953831
0.0,13126.991602500195
0.0,13126.576296478526
0.0,13126.160977316844
0.0,13125.745645013902
0.0,13125.330299568452
0.0,13124.914940979246
0.0,13124.499569245037
0.0,13124.08418436458
0.0,13123.668786336619
0.0,13123.253375159911
0.0,13122.837950833207
0.0,13122.42251335526
0.0,13122.007062724813
0.0,13121.591598940626
0.0,13121.176122001445
0.0,13120.760631906021
0.0,13120.345128653102
0.0,13119.929612241443
0.0,13119.51408266979
0.0,13119.098539936891
0.0,13118.682984041498
0.0,13118.267414982362
0.0,13117.851832758226
0.0,13117.436237367845
0.0,13117.020628809965
0.0,13116.605007083335
0.0,13116.189372186702
0.0,13115.773724118813
0.0,13115.358062878418
0.0,13114.942388464267
0.0,13114.526700875102
0.0,13114.11100010967
0.0,13113.69528616672
0.0,13113.279559044999
0.0,13112.863818743255
0.0,13112.448065260232
0.0,13112.032298594677
0.0,13111.616518745337
0.0,13111.200725710956
0.0,13110.784919490283
0.0,13110.369100082058
0.0,13109.953267485029
0.0,13109.537421697942
0.0,13109.12156271954
0.0,13108.705690548566
0.0,13108.289805183767
0.0,13107.87390662389
0.0,13107.457994867673
0.0,13107.042069913861
0.0,13106.626131761204
0.0,13106.210180408436
0.0,13105.794215854306
0.0,13105.378238097557
0.0,13104.962247136928
0.0,13104.546242971168
0.0,13104.130225599012
0.0,13103.714195019205
0.0,13103.298151230489
0.0,13102.882094231609
0.0,13102.466024021303
0.0,13102.049940598314
0.0,13101.63384396138
0.0,13101.217734109245
0.0,13100.80161104065
0.0,13100.385474754332
0.0,13099.969325249038
0.0,13099.553162523503
0.0,13099.136986576468
0.0,8969.856216229184
0.0,8969.65123044448
0.0,8969.446239975101
0.0,8969.241244820729
0.0,8969.036244981042
0.0,8968.831240455718
0.0,8968.626231244438
0.0,8968.421217346877
0.0,8968.216198762715
0.0,8968.011175491632
0.0,8967.806147533305
0.0,8967.601114887413
0.0,8967.396077553636
0.0,8967.191035531649
0.0,8966.985988821134
0.0,8966.780937421767
0.0,8966.575881333227
0.0,8966.370820555194
